name,pop,lat,lng
Tunis,2412500,36.8028,10.1797
Vienna,2400000,48.2,16.3666
Jilin,2396000,43.85,126.55
Omdurman,2395159,15.6167,32.48
Bandung,2394000,-6.95,107.57
Bekasi,2378211,-6.2173,106.9723
Mannheim,2362000,49.5004,8.47
Nanchang,2350000,28.68,115.88
Wenzhou,2350000,28.02,120.6501
Queens,2333054,40.7498,-73.7976
Vancouver,2313328,49.2734,-123.1216
Birmingham,2285000,52.475,-1.92
Cali,2254000,3.4,-76.5
Naples,2250000,40.84,14.245
Sendai,2250000,38.2871,141.0217
Manchester,2230000,53.5004,-2.248
Puebla,2195000,19.05,-98.2
Tripoli,2189000,32.8925,13.18
Tashkent,2184000,41.3117,69.2949
Havana,2174000,23.132,-82.3642
Gaoping,2174000,30.7804,106.13
Baltimore,2170504,39.3051,-76.6144
Nanning,2167000,22.82,108.32
Belém,2167000,-1.45,-48.48
Patna,2158000,25.625,85.13
Santo Domingo,2154000,18.4701,-69.9001
Ürümqi,2151000,43.805,87.575
Zaozhuang,2145000,34.88,117.57
Baku,2122300,40.3953,49.8622
Accra,2121000,5.55,-0.2167
Yantai,2116000,37.5304,121.4
Medan,2115000,3.58,98.65
Santa Cruz,2102998,-17.7539,-63.226
Tongshan,2091000,34.28,117.18
Riverside,2084749,33.9381,-117.3948
Linyi,2082000,35.08,118.33
St. Louis,2078283,38.6358,-90.2451
Las Vegas,2073045,36.2333,-115.2654
Maracaibo,2072000,10.73,-71.66
Kuwait City,2063000,29.3697,47.9783
Ad Dammām,2054710,26.4282,50.0997
Portland,2052796,45.5371,-122.65
Haikou,2046189,20.05,110.32
Hiroshima,2045000,34.3878,132.4429
Baotou,2036000,40.6522,109.822
Hefei,2035000,31.85,117.28
Indore,2026000,22.7151,75.865
Goiânia,2022000,-16.72,-49.3
Sanaa,2008000,15.3547,44.2066
San Antonio,2002530,29.4658,-98.5254
Port-au-Prince,1998000,18.541,-72.336
Haiphong,1969000,20.83,106.6801
Suzhou,1964000,33.6361,116.9789
Nanyang,1944000,33.0004,112.53
Bucharest,1942000,44.4334,26.0999
Ningbo,1923000,29.88,121.55
Douala,1906000,4.0604,9.71
Tangshan,1879000,39.6243,118.1944
Tainan,1876312,23,120.2
Xiping,1873000,40.08,113.3
Asunción,1870000,-25.2964,-57.6415
Saidu Sharif,1860310,34.75,72.35
Brisbane,1860000,-27.455,153.0351
Rawalpindi,1858000,33.6,73.04
Sacramento,1854698,38.5667,-121.4683
Beirut,1846000,33.872,35.5097
San Jose,1821899,37.3021,-121.8489
Minsk,1805000,53.9,27.5666
Kyōto,1805000,35.03,135.75
Barranquilla,1798000,10.96,-74.8
Orlando,1776841,28.4772,-81.3369
Shuyangzha,1770000,34.1299,118.7734
Valencia,1770000,10.23,-67.98
Hamburg,1757000,53.55,10
Vadodara,1756000,22.31,73.18
Manaus,1753000,-3.1,-60
Shangqiu,1753000,34.4504,115.65
Wuxi,1749000,31.58,120.3
Palembang,1749000,-2.98,104.75
Brussels,1743000,50.8333,4.3333
